W/760308103204	L4	13.512800216674805	-3.352799892425537	90	W/760308103204
DNP	FD1	-27.985599517822266	19.63520050048828	360	DNP
DNP	FD2	17.985599517822266	-3.631200075149536	360	DNP
DNP	J3	-25.196800231933594	6.604000091552734	330	DNP
DNP	J5	-12.801600456237793	28.54960060119629	180	DNP
DNP	J6	-24.587200164794922	16.256000518798828	360	DNP
