Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Legacy ID	Mounting Type	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13	Datasheet 14	Datasheet 15	Datasheet 16	Datasheet 17	Datasheet 18	Datasheet 19	Datasheet 20	Datasheet 21	Datasheet 22	Datasheet 23	Datasheet 24	Datasheet 25	Datasheet 26	Datasheet 27	Datasheet 28	Datasheet 29	Datasheet 30	Datasheet 31
Multilayer Ceramic Capacitor, 0.01 uF, 50 V, ï¿½ 10%, X7R, 0402 [1005 Metric]	MURATA/GRM155R71H103KA88J	Murata	GRM155R71H103KA88J	Newark	66AJ7188	C15,C16	2	100	0.0096	0.9600		Surface mount	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-10025737.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-11800028.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-11978611.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-12510076.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-12515295.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-12544023.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-13530826.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-138740980.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-140568805.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-140689249.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-140691758.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-155345057.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-22122223.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-39128469.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-8329667.pdf	http://datasheet.octopart.com/GRM155R71H103KA88J-Murata-datasheet-8819587.pdf															
Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ï¿½ 5%, C0G (NP0), 1206 [3216 Metric]	MURATA/GRM31C5C1H104JA01L	Murata	GRM31C5C1H104JA01L	Mouser	81-GRM31C5C1H104JA1L	C11	1	22	0.2772	6.0984		Surface mount	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-10025737.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-11759111.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-11978611.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-12510076.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-12515295.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-12526276.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-138746190.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-140708920.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-141280264.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-22122223.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-44109283.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-46741993.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-59876780.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-8819587.pdf	http://datasheet.octopart.com/GRM31C5C1H104JA01L-Murata-datasheet-96971104.pdf																
Cap Ceramic 0.47uF 25V X5R 20% Pad SMD 0402 85C Automotive T/R	MURATA/GRT155R61E474ME01D	Murata	GRT155R61E474ME01D	Mouser	81-GRT155R61E474ME1D	C38,C39	2	34	0.3996	13.5864		Surface mount																															
Inductor Chip 2.2nH 0.1nH Tolerance 2-Pin 0402 Paper T/R	MURATA/LQG15HN2N2B02D	Murata	LQG15HN2N2B02D	Mouser	81-LQG15HN2N2B02D	L8	1	100	0.0528	5.2800		Surface mount																															
General Purpose Inductor, 0.002uH, 5%, 1 Element, SMD, CHIP, 0402	MURATA/LQG15HS2N0B02D	Murata	LQG15HS2N0B02D	Digi-Key	490-LQG15HS2N0B02DCT-ND	L7	1	100	0.0593	5.9280		Surface mount	http://datasheet.octopart.com/LQG15HS2N0B02D-Murata-datasheet-138753338.pdf	http://datasheet.octopart.com/LQG15HS2N0B02D-Murata-datasheet-140712219.pdf	http://datasheet.octopart.com/LQG15HS2N0B02D-Murata-datasheet-141286126.pdf	http://datasheet.octopart.com/LQG15HS2N0B02D-Murata-datasheet-145449626.pdf	http://datasheet.octopart.com/LQG15HS2N0B02D-Murata-datasheet-150009271.pdf																										
Conn Coaxial RCP 0Hz to 11GHz 50Ohm Solder ST SMD Reel / CONN UMC RCPT STR 50 OHM SMD	MURATA/MM8030-2610RK0	Murata	MM8030-2610RK0	Mouser	81-MM8030-2610RK0	S4	1	22	0.1560	3.4320		Surface mount	http://datasheet.octopart.com/MM8030-2610RK0-Murata-datasheet-140462597.pdf	http://datasheet.octopart.com/MM8030-2610RK0-Murata-datasheet-14049754.pdf																													
Ntc Thermistor, 10Kohm, 0402 Rohs Compliant: Yes |Murata NCU15XH103F60RC	MURATA/NCU15XH103F60RC	Murata	NCU15XH103F60RC	Mouser	81-NCU15XH103F60RC	RT1	1	100	0.0576	5.7600		Surface mount	http://datasheet.octopart.com/NCU15XH103F60RC-Murata-datasheet-138710188.pdf	http://datasheet.octopart.com/NCU15XH103F60RC-Murata-datasheet-141294565.pdf	http://sigma.octopart.com/140084259/technical_drawing/Murata-NCU15XH103F60RC.pdf																												
PESD Series 10 V 0.95 pF Uni-Directional ESD Protection Diode - SOD-523	NEXPERIA/PESD5V0X1UB,135	Nexperia	PESD5V0X1UB,135	Mouser	771-PESD5V0X1UB135	D3	1	22	0.3168	6.9696		Surface mount	http://datasheet.octopart.com/PESD5V0X1UB%2C135-Nexperia-datasheet-11046601.pdf	http://datasheet.octopart.com/PESD5V0X1UB%2C135-Nexperia-datasheet-87844249.pdf																													
Speakers & Transducers 3 VP-P 90 MA SMT TRANSDUCER	PA/SMT-0440-T-2-R	PUI Audio	SMT-0440-T-2-R	Mouser	665-SMT-0440-T-2-R	LS1	1	15	2.8080	42.1200		Surface mount	http://datasheet.octopart.com/SMT-0440-T-2-R-PUI-Audio-datasheet-154249315.pdf																														
Res Thick Film 0201 261K Ohm 1% 1/20W ±200ppm/°C Molded SMD SMD T/R	PANASONIC/ERJ-1GNF2613C	Panasonic	ERJ-1GNF2613C	Mouser	667-ERJ-1GNF2613C	R26	1	100	0.0168	1.6800		Surface mount																															
