Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Legacy ID	Mounting Type	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13	Datasheet 14	Datasheet 15	Datasheet 16	Datasheet 17	Datasheet 18	Datasheet 19	Datasheet 20	Datasheet 21	Datasheet 22	Datasheet 23	Datasheet 24	Datasheet 25	Datasheet 26	Datasheet 27	Datasheet 28	Datasheet 29	Datasheet 30	Datasheet 31
Res Thick Film 0402 5.1K Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R	STACKPOLE/RMCF0402FT5K10	Stackpole Electronics	RMCF0402FT5K10	Mouser	708-RMCF0402FT5K10	XR16,XR17	2	100	0.0060	0.6000		Surface mount	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-12510902.pdf	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0402FT5K10-Stackpole-Electronics-datasheet-62091608.pdf																									
Res Thick Film 0402 5.1M Ohm 1% 0.063W ±200ppm/°C Molded SMD Paper T/R	STACKPOLE/RMCF0402FT5M10	Stackpole Electronics	RMCF0402FT5M10	Mouser	708-RMCF0402FT5M10	R31,R33,R34	3	100	0.0072	0.7200		Surface mount	http://datasheet.octopart.com/RMCF0402FT5M10-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT5M10-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT5M10-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0402FT5M10-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0402FT5M10-Stackpole-Electronics-datasheet-62091608.pdf																										
Res Thick Film 0402 97.6 Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R	STACKPOLE/RMCF0402FT97R6	Stackpole Electronics	RMCF0402FT97R6	Digi-Key	738-RMCF0402FT97R6CT-ND	R6,R7	2	100	0.0084	0.8400		Surface mount	http://datasheet.octopart.com/RMCF0402FT97R6-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT97R6-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT97R6-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0402FT97R6-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0402FT97R6-Stackpole-Electronics-datasheet-62091608.pdf																										
Res Thick Film 0402 0 Ohm Jumper Molded SMD Paper T/R	STACKPOLE/RMCF0402ZT0R00	Stackpole Electronics	RMCF0402ZT0R00	Mouser	708-RMCF0402ZT0R00	RZ10,RZ11,RZ4,RZ6,RZ7,RZ8,RZ9	7	134	0.0036	0.4824		Surface mount	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-11547379.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-154799224.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-62091608.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-8324226.pdf	http://datasheet.octopart.com/RMCF0402ZT0R00-Stackpole-Electronics-datasheet-8359789.pdf																						
Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes	STACKPOLE/RMCF0603ZT0R00	Stackpole Electronics	RMCF0603ZT0R00	Mouser	708-RMCF0603ZT0R00	RZ1,RZ2	2	100	0.0060	0.6000		Surface mount	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-11546843.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-11547379.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-116606903.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-141193804.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-154799224.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-28504820.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-62091608.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-8324226.pdf	http://datasheet.octopart.com/RMCF0603ZT0R00-Stackpole-Electronics-datasheet-8359789.pdf																				
Inductor Power Shielded Wirewound 10uH 20% 100KHz Ferrite 0.71A 0.276Ohm DCR 1212 T/R	TAIYOYUDEN/NR3015T100M	Taiyo Yuden	NR3015T100M	Digi-Key	587-1650-1-ND	L1,L2	2	34	0.2606	8.8618		Surface mount	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10031713.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-101669872.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10283011.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10408854.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10545600.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10549048.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10618026.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10620942.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10622963.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10671320.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10742123.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-10854574.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-118848.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-118905.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-119523.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-120265.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-13712977.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-14066635.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-141251735.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-154809638.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-1645.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-17274180.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-21217700.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-41181802.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-5326109.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-62109551.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-65973303.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-8820216.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-8836259.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-8857305.pdf	http://datasheet.octopart.com/NR3015T100M-Taiyo-Yuden-datasheet-99833426.pdf
Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% -Tol, X7R, 15% Tc, 0.1Uf, Surface Mount, 0603	TDK/C1608X7R1H104K080AA	TDK	C1608X7R1H104K080AA	Mouser	810-C1608X7R1H104K	C22,C24	2	100	0.0276	2.7600		Surface mount	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-10978788.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-13376850.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-151546523.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-15994800.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-20675657.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-20681607.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-41194876.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-82475248.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1608X7R1H104K080AA-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C1608X7R1H104K-TDK-datasheet-10921857.pdf	http://datasheet.octopart.com/C1608X7R1H104K-TDK-datasheet-11513774.pdf	http://datasheet.octopart.com/C1608X7R1H104K-TDK-datasheet-14047322.pdf	http://datasheet.octopart.com/C1608X7R1H104K-TDK-datasheet-27087890.pdf	http://datasheet.octopart.com/C1608X7R1H104K-TDK-datasheet-90581.pdf	http://datasheet.octopart.com/C-Series-Ceramic-Chip-Capacitors-TDK-datasheet-family-84.pdf												
Multilayer Ceramic Capacitor, 0.22 uF, 50 V, ï¿½ 10%, X7R, 0603 [1608 Metric]	TDK/C1608X7R1H224K080AB	TDK	C1608X7R1H224K080AB	Newark	04X3259	C37	1	74	0.0492	3.6408		Surface mount	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-10978788.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-13444418.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-151546523.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-20681607.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-21217870.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-23766614.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-41194876.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-82475248.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1608X7R1H224K080AB-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C-Series-Ceramic-Chip-Capacitors-TDK-datasheet-family-84.pdf																	
10V 4.7uF X7S 卤10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	TDK/C1608X7S1A475K080AC	TDK	C1608X7S1A475K080AC	Newark	78Y9932	C45,C46,C47,C48,C49,C50	6	122	0.0528	6.4416		Surface mount	http://datasheet.octopart.com/C1608X7S1A475K080AC-TDK-datasheet-151546523.pdf	http://datasheet.octopart.com/C1608X7S1A475K080AC-TDK-datasheet-41194876.pdf	http://datasheet.octopart.com/C1608X7S1A475K080AC-TDK-datasheet-82475248.pdf	http://datasheet.octopart.com/C-Series-Ceramic-Chip-Capacitors-TDK-datasheet-family-84.pdf																											
Standalone 1-cell 1-A linear battery charger with 4.2-V VBAT and Temperature Sensing 10-WSON 0 to 125	TI/BQ24040DSQR	Texas Instruments	BQ24040DSQR	Mouser	595-BQ24040DSQR	U3	1	16	0.8112	12.9792		Surface mount	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-10257486.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-10286863.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-11520011.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-13762709.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-140571232.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-14154744.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-14444722.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-159114649.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-23685543.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-62292463.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-62313082.pdf	http://datasheet.octopart.com/BQ24040DSQR-Texas-Instruments-datasheet-65712747.pdf	http://sigma.octopart.com/49250718/technical_drawing/Texas-Instruments-BQ24040DSQR.pdf	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=02058b3&at=physicalpart&sid=370&ppid=12187011&hlid=29921624	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=0dac3df&at=physicalpart&sid=370&ppid=12187011&hlid=31981250																
WPC 1.1 Compatible Fully integrated Wireless power Receiver IC 20-VQFN 0 to 125	TI/BQ51013BRHLR	Texas Instruments	BQ51013BRHLR	Mouser	595-BQ51013BRHLR	U4	1	15	2.6160	39.2400		Surface mount	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-12955706.pdf	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-14433264.pdf	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-159114702.pdf	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-21094540.pdf	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-41214977.pdf	http://datasheet.octopart.com/BQ51013BRHLR-Texas-Instruments-datasheet-94061900.pdf	http://sigma.octopart.com/103093910/technical_drawing/Texas-Instruments-BQ51013BRHLR.pdf	http://sigma.octopart.com/49250707/technical_drawing/Texas-Instruments-BQ51013BRHLR.pdf	http://sigma.octopart.com/68308939/technical_drawing/Texas-Instruments-BQ51013BRHLR.pdf	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=00d58a0&at=physicalpart&sid=370&ppid=24884967&hlid=29925165	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=07cd215&at=physicalpart&sid=370&ppid=24884967&hlid=31984885																				
Transistor MOSFET Array Dual P-CH 3.9A 9-Pin DSBGA T/R	TI/CSD75207W15	Texas Instruments	CSD75207W15	Mouser	595-CSD75207W15	Q1	1	22	0.4596	10.1112		Surface mount	http://datasheet.octopart.com/CSD75207W15-Texas-Instruments-datasheet-142046467.pdf	http://datasheet.octopart.com/CSD75207W15-Texas-Instruments-datasheet-150476432.pdf	http://datasheet.octopart.com/CSD75207W15-Texas-Instruments-datasheet-15994538.pdf	http://datasheet.octopart.com/CSD75207W15-Texas-Instruments-datasheet-27303991.pdf	http://datasheet.octopart.com/CSD75207W15-Texas-Instruments-datasheet-41215282.pdf	http://sigma.octopart.com/117815113/technical_drawing/Texas-Instruments-CSD75207W15.pdf	http://sigma.octopart.com/49250811/technical_drawing/Texas-Instruments-CSD75207W15.pdf	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=025091c&at=physicalpart&sid=370&ppid=29716915&hlid=29941442	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=04df985&at=physicalpart&sid=370&ppid=29716915&hlid=32000877																						
200mA, nanopower-IQ (25 nA), low-dropout (LDO) voltage regulator with enable 4-X2SON -40 to 125	TI/TPS7A0218PDQNR	Texas Instruments	TPS7A0218PDQNR	Digi-Key	296-TPS7A0218PDQNRCT-ND	VR2,VR3	2	34	0.5645	19.1923		Surface mount	http://sigma.octopart.com/68308705/technical_drawing/Texas-Instruments-TPS7A0218PDQNR.pdf	https://octopart.com/click/track?ai=8005&ct=datasheets&sig=02b1362&at=physicalpart&sid=370&ppid=106631936&hlid=30254241																													
Fundamental Active RoHS Compliant MHz Crystal Crystal 10pF 0.022 0.55mm -20C~70C 80Ohm	TXC/8Y38472012	TXC	8Y38472012	Digi-Key	887-8Y38472012CT-ND	X4	1	16	0.8508	13.6128		Surface mount																															
1.6X1.0 - 32.768Khz Quartz Xtal/Ceramic, +/-20Ppm @25C, 7Pf |Txc 9HT12-32.768KDZY-T	TXC/9HT12-32.768KDZY-T	TXC	9HT12-32.768KDZY-T	Mouser	717-9HT12-32.76KDZYT	X2,X3	2	28	1.0056	28.1568		Surface mount	http://datasheet.octopart.com/9HT12-32.768KDZY-T-TXC-datasheet-21225339.pdf																														
Multi-Color LED; 0606; Flat Lens; Red; Green(Yellow Green)	VENKEL/MCL0606FRD1GR1T	Venkel	MCL0606FRD1GR1T	user-25598	Consign	D1	1	12		0.0000		Surface mount																															
Multi-Color LED; 0606; Flat Lens; Yellow; Red	VENKEL/MCL0606FYW1RD1T	Venkel	MCL0606FYW1RD1T	user-25598	Consign	D2	1	12		0.0000		Surface mount																															
SiP32414 Series Dual 2A 1.2 V 72 mOhms Slew Rate Controlled Load Switch - TDFN-8	VISHAY/SIP32414DNP-T1-GE4	Vishay	SIP32414DNP-T1-GE4	Mouser	781-SIP32414DNP-GE4	S3	1	22	0.6264	13.7808		Surface mount	http://datasheet.octopart.com/SIP32414DNP-T1-GE4-Vishay-datasheet-13711623.pdf	http://datasheet.octopart.com/SIP32414DNP-T1-GE4-Vishay-datasheet-39160774.pdf	http://datasheet.octopart.com/SIP32414DNP-T1-GE4-Vishay-datasheet-62319063.pdf																												
Slide Switch, 0.3A, 5Vdc, Smd Rohs Compliant: Yes |Wurth Elektronik 450404015514	W/450404015514	Würth Elektronik	450404015514	Digi-Key	732-13665-1-ND	S1	1	16	0.9480	15.1680		Surface mount																															
WE-WPCC Wireless Power Charging Rx Coil | Wurth Elektronik 760308103204	W/760308103204	Würth Elektronik	760308103204	Mouser	710-760308103204	L4	1	14	7.1640	100.2960		Through hole	http://datasheet.octopart.com/760308103204-W%C3%BCrth-Elektronik-datasheet-111089581.pdf	http://datasheet.octopart.com/760308103204-W%C3%BCrth-Elektronik-datasheet-141445845.pdf	http://datasheet.octopart.com/760308103204-W%C3%BCrth-Elektronik-datasheet-23701282.pdf																												
Res Thick Film 0201 49.9 Ohm 1% 0.05W(1/20W) ±200ppm/C Pad SMD Automotive T/R	YAGEO/AC0201FR-0749R9L	Yageo	AC0201FR-0749R9L	Newark	49AK0145	R1	1	100	0.0036	0.3600		Surface mount	http://datasheet.octopart.com/AC0201FR-0749R9L-Yageo-datasheet-12512238.pdf	http://datasheet.octopart.com/AC0201FR-0749R9L-Yageo-datasheet-137699919.pdf	http://datasheet.octopart.com/AC0201FR-0749R9L-Yageo-datasheet-151884373.pdf	http://datasheet.octopart.com/AC0201FR-0749R9L-Yageo-datasheet-86786639.pdf																											
Multilayer Ceramic Capacitor, 1.5 pF, 50 V, ï¿½ 0.25pF, C0G (NP0), 0402 [1005 Metric]	YAGEO/CC0402BRNPO9BN1R5	Yageo	CC0402BRNPO9BN1R5	Newark	40AJ6286	C1	1	100	0.0144	1.4400		Surface mount	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-10406438.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-12589826.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-136957424.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-137700082.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-137875056.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-16730043.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-504625.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-5321569.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-78855684.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-8324240.pdf	http://datasheet.octopart.com/CC0402BRNPO9BN1R5-Yageo-datasheet-8817079.pdf																				
Multilayer Ceramic Capacitor, 4700 pF, 25 V, ï¿½ 10%, X7R, 0402 [1005 Metric]	YAGEO/CC0402KRX7R8BB472	Yageo	CC0402KRX7R8BB472	Mouser	603-CC402KRX7R8BB472	C76	1	100	0.0048	0.4800		Surface mount	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-10883670.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-10911834.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-118396.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-12526321.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-137700084.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-137700085.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-151948686.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-15895757.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-24578986.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-27626582.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-499490.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-5301394.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-62336348.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-78855684.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-8324442.pdf	http://datasheet.octopart.com/CC0402KRX7R8BB472-Yageo-datasheet-8701427.pdf															
Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.022uF Y5V 0402 -20%, +80%	YAGEO/CC0402ZRY5V8BB223	Yageo	CC0402ZRY5V8BB223	Mouser	603-CC402ZRY5V8BB223	C20,C21	2	100	0.0084	0.8400		Surface mount	http://datasheet.octopart.com/CC0402ZRY5V8BB223-Yageo-datasheet-78855689.pdf																														
SMD Chip Resistor, 2.2 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose	YAGEO/RC0402FR-072K2L	Yageo	RC0402FR-072K2L	Digi-Key	311-2.20KLRDKR-ND	R13,R15	2	100	0.0049	0.4920		Surface mount	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-103092701.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-137700087.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-62067350.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-73766026.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-8324255.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC0402FR-072K2L-Yageo-datasheet-8329306.pdf																						
SMD Chip Resistor, 10 kOhm, ï¿½ 5%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose	YAGEO/RC0402JR-0710KL	Yageo	RC0402JR-0710KL	Mouser	603-RC0402JR-0710KL	R12,R16,R18,R20,R23,XR19	6	122	0.0072	0.8784		Surface mount	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-137700087.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-141265859.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-505231.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-62067350.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-73766026.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-8329306.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://sigma.octopart.com/138820526/technical_drawing/Yageo-RC0402JR-0710KL.pdf																				
Res General Purpose Thick Film 0402 15 Ohm 5% 1/16W ¡À100ppm/¡ãC Molded SMD Paper T/R	YAGEO/RC0402JR-0715RL	Yageo	RC0402JR-0715RL	Mouser	603-RC0402JR-0715RL	R4,R5	2	100	0.0072	0.7200		Surface mount	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-137700087.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-148775077.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-505231.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-62067350.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-73766026.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC0402JR-0715RL-Yageo-datasheet-8329306.pdf																						
