ABRACON/ACR0301U	A1	-3.746000051498413	22.253999710083008	360	ABRACON/ACR0301U
ABRACON/ACR0301U	A2	20	6.390399932861328	120	ABRACON/ACR0301U
ABRACON/ACR0301U	A3	-16.36199951171875	0.10159999877214432	240	ABRACON/ACR0301U
ABRACON/ABM12W-32.0000MHZ-6-D1X-T3	X1	12.954000473022461	17.88159942626953	90	ABRACON/ABM12W-32.0000MHZ-6-D1X-T3
TI/TPS7A0218PDQNR	VR2	11.074399948120117	17.576799392700195	180	TI/TPS7A0218PDQNR
TI/TPS7A0218PDQNR	VR3	-10.05840015411377	27.02560043334961	270	TI/TPS7A0218PDQNR
MURATA/DFE201210U-2R2M=P2	L5	20.624799728393555	15.951199531555176	90	MURATA/DFE201210U-2R2M=P2
MURATA/DFE18SAN1R0ME0L	L6	13.15719985961914	21.894800186157227	360	MURATA/DFE18SAN1R0ME0L
TDK/C1608X7S1A475K080AC	C45	-15.849599838256836	25.50160026550293	90	TDK/C1608X7S1A475K080AC
TDK/C1608X7S1A475K080AC	C46	-25.806400299072266	19.304000854492188	180	TDK/C1608X7S1A475K080AC
TDK/C1608X7S1A475K080AC	C47	-15.34160041809082	28.244800567626953	180	TDK/C1608X7S1A475K080AC
TDK/C1608X7S1A475K080AC	C48	-24.18079948425293	22.758399963378906	90	TDK/C1608X7S1A475K080AC
TDK/C1608X7S1A475K080AC	C49	-12.3951997756958	25.399999618530273	270	TDK/C1608X7S1A475K080AC
TDK/C1608X7S1A475K080AC	C50	-14.02079963684082	21.539199829101563	360	TDK/C1608X7S1A475K080AC
AVX/CM105X5R106M25AT	C53	13.3858003616333	2.3368000984191895	360	AVX/CM105X5R106M25AT
AVX/CM105X5R106M25AT	C56	2.6161999702453613	-5.079999923706055	270	AVX/CM105X5R106M25AT
AVX/CM105X5R106M25AT	C57	1.0667999982833862	-5.079999923706055	270	AVX/CM105X5R106M25AT
STACKPOLE/RMCF0603ZT0R00	RZ1	-6.502399921417236	22.45359992980957	360	STACKPOLE/RMCF0603ZT0R00
STACKPOLE/RMCF0603ZT0R00	RZ2	-7.416800022125244	20.31999969482422	270	STACKPOLE/RMCF0603ZT0R00
MURATA/NCU15XH103F60RC	RT1	1.0101187229156494	-2.13948130607605	90	MURATA/NCU15XH103F60RC
DNP	RX14	1.0160000324249268	0.11048749834299088	180	DNP
DNP	RX7	-18.186399459838867	13.614399909973145	90	DNP
STACKPOLE/RMCF0402FT97R6	R6	15.34160041809082	-5.4355998039245605	180	STACKPOLE/RMCF0402FT97R6
STACKPOLE/RMCF0402FT97R6	R7	14.122400283813477	-5.4355998039245605	360	STACKPOLE/RMCF0402FT97R6
STACKPOLE/RMCF0402FT5K10	XR16	-14.630399703979492	-0.9143999814987183	180	STACKPOLE/RMCF0402FT5K10
STACKPOLE/RMCF0402FT5K10	XR17	-14.630399703979492	-2.9463999271392822	360	STACKPOLE/RMCF0402FT5K10
STACKPOLE/RMCF0402FT5M10	R31	1.5240000486373901	16.763999938964844	180	STACKPOLE/RMCF0402FT5M10
STACKPOLE/RMCF0402FT5M10	R33	-16.611600875854492	22.047199249267578	360	STACKPOLE/RMCF0402FT5M10
STACKPOLE/RMCF0402FT5M10	R34	-22.047199249267578	28.95599937438965	90	STACKPOLE/RMCF0402FT5M10
YAGEO/RC0402JR-075R1L	R2	26.1112003326416	26.51759910583496	90	YAGEO/RC0402JR-075R1L
YAGEO/RC0402JR-075R1L	R3	26.1112003326416	28.75279998779297	90	YAGEO/RC0402JR-075R1L
YAGEO/RC0402FR-072K2L	R13	1.0101187229156494	-1.0101187229156494	270	YAGEO/RC0402FR-072K2L
YAGEO/RC0402FR-072K2L	R15	-18.288000106811523	7.823200225830078	90	YAGEO/RC0402FR-072K2L
STACKPOLE/RMCF0402FT162R	R8	11.684000015258789	-5.4355998039245605	360	STACKPOLE/RMCF0402FT162R
STACKPOLE/RMCF0402FT162R	R9	12.903200149536133	-5.4355998039245605	180	STACKPOLE/RMCF0402FT162R
YAGEO/RC0402JR-0715RL	R4	26.1112003326416	29.870399475097656	90	YAGEO/RC0402JR-0715RL
YAGEO/RC0402JR-0715RL	R5	26.1112003326416	27.63520050048828	90	YAGEO/RC0402JR-0715RL
YAGEO/RC0402JR-0710KL	R12	25.603200912475586	5.079999923706055	90	YAGEO/RC0402JR-0710KL
YAGEO/RC0402JR-0710KL	R16	23.97760009765625	6.502399921417236	180	YAGEO/RC0402JR-0710KL
YAGEO/RC0402JR-0710KL	R18	8.43280029296875	-5.4355998039245605	360	YAGEO/RC0402JR-0710KL
YAGEO/RC0402JR-0710KL	R20	25.555500030517578	3.911600112915039	90	YAGEO/RC0402JR-0710KL
YAGEO/RC0402JR-0710KL	R23	9.652000427246094	-5.4355998039245605	180	YAGEO/RC0402JR-0710KL
YAGEO/RC0402JR-0710KL	XR19	-22.758399963378906	11.531599998474121	360	YAGEO/RC0402JR-0710KL
YAGEO/RT0402BRE07100KL	R24	-15.748000144958496	18.288000106811523	360	YAGEO/RT0402BRE07100KL
YAGEO/RT0402BRE07100KL	R25	23.672800064086914	27.63520050048828	90	YAGEO/RT0402BRE07100KL
STACKPOLE/RMCF0402FT1M87	R30	1.5240000486373901	14.732000350952148	180	STACKPOLE/RMCF0402FT1M87
STACKPOLE/RMCF0402ZT0R00	RZ10	11.074399948120117	18.897600173950195	90	STACKPOLE/RMCF0402ZT0R00
STACKPOLE/RMCF0402ZT0R00	RZ11	10.566399574279785	14.833600044250488	270	STACKPOLE/RMCF0402ZT0R00
STACKPOLE/RMCF0402ZT0R00	RZ4	5.9944000244140625	18.99920082092285	180	STACKPOLE/RMCF0402ZT0R00
STACKPOLE/RMCF0402ZT0R00	RZ6	10.668000221252441	24.688800811767578	360	STACKPOLE/RMCF0402ZT0R00
STACKPOLE/RMCF0402ZT0R00	RZ7	11.988800048828125	24.688800811767578	360	STACKPOLE/RMCF0402ZT0R00
STACKPOLE/RMCF0402ZT0R00	RZ8	10.26159954071045	22.65679931640625	360	STACKPOLE/RMCF0402ZT0R00
