Format Version,1.23,Take Name,1.862v_take2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-04-03 12.30.02.756 AM,Total Frames in Take,43235,Total Exported Frames,43235,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3510,Unlabeled 3510,Unlabeled 3510,Unlabeled 3511,Unlabeled 3511,Unlabeled 3511,Unlabeled 3512,Unlabeled 3512,Unlabeled 3512,Unlabeled 3513,Unlabeled 3513,Unlabeled 3513,Unlabeled 3514,Unlabeled 3514,Unlabeled 3514
,ID,"D8AB0","D8AB0","D8AB0","D8AD0","D8AD0","D8AD0","D8B40","D8B40","D8B40","D8B50","D8B50","D8B50","D8B60","D8B60","D8B60"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6640,55.333333,0.116656,0.059874,-0.494929,0.483009,0.065298,-0.612520,,,,,,,,,
6641,55.341667,0.116685,0.059959,-0.494871,0.482913,0.065273,-0.612622,,,,,,,,,
6642,55.350000,0.116694,0.059990,-0.494857,0.482857,0.065289,-0.612685,,,,,,,,,
6643,55.358333,0.116619,0.059899,-0.494837,0.482877,0.065203,-0.612698,,,,,,,,,
6644,55.366667,0.116657,0.059861,-0.494960,0.482990,0.065250,-0.612538,,,,,,,,,
6645,55.375000,0.116695,0.059980,-0.494942,0.482720,0.065174,-0.612883,,,,,,,,,
6646,55.383333,0.116662,0.059880,-0.494936,0.482690,0.065131,-0.612928,,,,,,,,,
6647,55.391667,0.116620,0.059821,-0.494893,0.482887,0.065154,-0.612714,,,,,,,,,
6648,55.400000,0.116651,0.059928,-0.494954,0.482846,0.065251,-0.612737,,,,,,,,,
6649,55.408333,0.116675,0.060069,-0.494880,0.482892,0.065323,-0.612645,,,,,,,,,
6650,55.416667,0.116663,0.059921,-0.494928,0.483003,0.065286,-0.612532,,,,,,,,,
6651,55.425000,0.116639,0.059804,-0.494925,0.482699,0.065014,-0.612968,,,,,,,,,
6652,55.433333,0.116652,0.059829,-0.494925,0.482712,0.065103,-0.612927,,,,,,,,,
6653,55.441667,0.116697,0.059963,-0.494929,0.482924,0.065275,-0.612633,,,,,,,,,
6654,55.450000,0.116664,0.059910,-0.494927,0.482849,0.065214,-0.612740,,,,,,,,,
6655,55.458333,0.116652,0.059937,-0.494916,0.482861,0.065242,-0.612695,,,,,,,,,
6656,55.466667,0.116631,0.059922,-0.494855,0.482974,0.065330,-0.612492,,,,,,,,,
6657,55.475000,0.116657,0.059964,-0.494936,0.482717,0.065199,-0.612854,,,,,,,,,
6658,55.483333,0.116681,0.059950,-0.494993,0.482723,0.065179,-0.612927,,,,,,,,,
6659,55.491667,0.116627,0.059842,-0.494905,0.482954,0.065198,-0.612705,,,,,,,,,
6660,55.500000,0.116634,0.059788,-0.494935,0.482838,0.065124,-0.612794,,,,,,,,,
6661,55.508333,0.116669,0.059890,-0.494904,0.482873,0.065221,-0.612711,,,,,,,,,
6662,55.516667,0.116694,0.059984,-0.494895,0.482996,0.065349,-0.612528,,,,,,,,,
6663,55.525000,0.116652,0.059918,-0.494946,0.482709,0.065131,-0.612915,,,,,,,,,
6664,55.533333,0.116617,0.059858,-0.494908,0.482688,0.065119,-0.612919,,,,,,,,,
6665,55.541667,0.116667,0.059962,-0.494918,0.482946,0.065311,-0.612592,,,,,,,,,
6666,55.550000,0.116645,0.059927,-0.494873,0.482838,0.065244,-0.612738,,,,,,,,,
6667,55.558333,0.116641,0.059859,-0.494909,0.482834,0.065215,-0.612754,,,,,,,,,
6668,55.566667,0.116662,0.059880,-0.494931,0.482967,0.065288,-0.612568,,,,,,,,,
6669,55.575000,0.116664,0.059995,-0.494836,0.482733,0.065204,-0.612831,,,,,,,,,
6670,55.583333,0.116633,0.059964,-0.494862,0.482734,0.065186,-0.612877,,,,,,,,,
6671,55.591667,0.116683,0.059896,-0.494932,0.482975,0.065269,-0.612612,,,,,,,,,
6672,55.600000,0.116660,0.059854,-0.494916,0.482870,0.065213,-0.612729,,,,,,,,,
6673,55.608333,0.116666,0.059841,-0.494916,0.482888,0.065228,-0.612737,,,,,,,,,
6674,55.616667,0.116658,0.059848,-0.494951,0.482965,0.065254,-0.612629,,,,,,,,,
6675,55.625000,0.116682,0.059939,-0.494920,0.482705,0.065150,-0.612912,,,,,,,,,
6676,55.633333,0.116654,0.059980,-0.494944,0.482716,0.065202,-0.612870,,,,,,,,,
6677,55.641667,0.116642,0.059904,-0.494938,0.482934,0.065282,-0.612556,,,,,,,,,
6678,55.650000,0.116652,0.059919,-0.494887,0.482850,0.065225,-0.612714,,,,,,,,,
6679,55.658333,0.116667,0.059966,-0.494895,0.482879,0.065263,-0.612688,,,,,,,,,
6680,55.666667,0.116660,0.059841,-0.494922,0.482943,0.065250,-0.612605,,,,,,,,,
6681,55.675000,0.116643,0.059844,-0.494935,0.482699,0.065083,-0.612950,,,,,,,,,
6682,55.683333,0.116665,0.059942,-0.494915,0.482750,0.065187,-0.612865,,,,,,,,,
6683,55.691667,0.116657,0.059958,-0.494785,0.482999,0.065348,-0.612521,,,,,,,,,
6684,55.700000,0.116624,0.059908,-0.494884,0.482855,0.065248,-0.612682,,,,,,,,,
6685,55.708333,0.116648,0.059908,-0.494973,0.482846,0.065203,-0.612749,,,,,,,,,
6686,55.716667,0.116664,0.059894,-0.494935,0.482945,0.065261,-0.612600,,,,,,,,,
6687,55.725000,0.116658,0.059926,-0.494962,0.482702,0.065150,-0.612897,,,,,,,,,
6688,55.733333,0.116638,0.059812,-0.494964,0.482666,0.065036,-0.612971,,,,,,,,,
6689,55.741667,0.116646,0.059899,-0.494816,0.482967,0.065280,-0.612523,,,,,,,,,
6690,55.750000,0.116677,0.059993,-0.494894,0.482886,0.065283,-0.612656,,,,,,,,,
6691,55.758333,0.116667,0.059985,-0.494934,0.482864,0.065265,-0.612707,,,,,,,,,
6692,55.766667,0.116668,0.059863,-0.494901,0.482927,0.065227,-0.612625,,,,,,,,,
6693,55.775000,0.116653,0.059849,-0.494944,0.482682,0.065098,-0.612962,,,,,,,,,
6694,55.783333,0.116657,0.059876,-0.494946,0.482689,0.065125,-0.612945,,,,,,,,,
6695,55.791667,0.116662,0.059906,-0.494951,0.482989,0.065281,-0.612510,,,,,,,,,
6696,55.800000,0.116629,0.059892,-0.494897,0.482865,0.065239,-0.612695,,,,,,,,,
6697,55.808333,0.116659,0.059996,-0.494947,0.482838,0.065269,-0.612721,,,,,,,,,
6698,55.816667,0.116645,0.059954,-0.494874,0.482893,0.065279,-0.612636,,,,,,,,,
6699,55.825000,0.116662,0.059853,-0.494946,0.482702,0.065093,-0.612942,,,,,,,,,
6700,55.833333,0.116662,0.059872,-0.494950,0.482703,0.065113,-0.612944,,,,,,,,,
6701,55.841667,0.116664,0.059863,-0.494898,0.483003,0.065293,-0.612511,,,,,,,,,
6702,55.850000,0.116670,0.059886,-0.494809,0.482911,0.065259,-0.612668,,,,,,,,,
6703,55.858333,0.116666,0.059962,-0.494925,0.482869,0.065262,-0.612732,,,,,,,,,
6704,55.866667,0.116651,0.059972,-0.494891,0.482907,0.065291,-0.612634,,,,,,,,,
6705,55.875000,0.116644,0.059943,-0.494904,0.483007,0.065328,-0.612498,,,,,,,,,
6706,55.883333,0.116674,0.059952,-0.494973,0.482687,0.065155,-0.612931,,,,,,,,,
6707,55.891667,0.116639,0.059872,-0.494879,0.482982,0.065300,-0.612511,,,,,,,,,
6708,55.900000,0.116632,0.059815,-0.494970,0.482858,0.065187,-0.612696,,,,,,,,,
6709,55.908333,0.116645,0.059879,-0.494888,0.482832,0.065214,-0.612770,,,,,,,,,
6710,55.916667,0.116649,0.059923,-0.494826,0.482893,0.065268,-0.612649,,,,,,,,,
6711,55.925000,0.116660,0.059930,-0.494906,0.483020,0.065348,-0.612482,,,,,,,,,
6712,55.933333,0.116646,0.059882,-0.494957,0.482723,0.065138,-0.612919,,,,,,,,,
6713,55.941667,0.116668,0.059867,-0.494929,0.483007,0.065287,-0.612521,,,,,,,,,
6714,55.950000,0.116633,0.059912,-0.494831,0.482911,0.065257,-0.612645,,,,,,,,,
6715,55.958333,0.116636,0.059905,-0.494872,0.482832,0.065232,-0.612750,,,,,,,,,
6716,55.966667,0.116649,0.059886,-0.494826,0.482873,0.065225,-0.612680,,,,,,,,,
6717,55.975000,0.116655,0.059991,-0.494812,0.482992,0.065355,-0.612483,,,,,,,,,
6718,55.983333,0.116675,0.059985,-0.494944,0.482702,0.065222,-0.612872,,,,,,,,,
6719,55.991667,0.116620,0.059885,-0.494924,0.482695,0.065132,-0.612916,,,,,,,,,
6720,56.000000,0.116653,0.059864,-0.494923,0.482912,0.065249,-0.612645,,,,,,,,,
6721,56.008333,0.116669,0.059887,-0.494921,0.482850,0.065204,-0.612744,,,,,,,,,
6722,56.016667,0.116634,0.059827,-0.494934,0.482881,0.065194,-0.612721,,,,,,,,,
6723,56.025000,0.116652,0.059864,-0.494939,0.482987,0.065252,-0.612563,,,,,,,,,
6724,56.033333,0.116674,0.059943,-0.494936,0.482743,0.065201,-0.612879,,,,,,,,,
6725,56.041667,0.116651,0.059970,-0.494856,0.483036,0.065364,-0.612461,,,,,,,,,
6726,56.050000,0.116653,0.059922,-0.494939,0.482932,0.065298,-0.612605,,,,,,,,,
6727,56.058333,0.116652,0.059894,-0.494978,0.482835,0.065220,-0.612734,,,,,,,,,
6728,56.066667,0.116655,0.059847,-0.494899,0.482865,0.065173,-0.612732,,,,,,,,,
6729,56.075000,0.116652,0.059887,-0.494939,0.482967,0.065259,-0.612561,,,,,,,,,
6730,56.083333,0.116670,0.059932,-0.494908,0.482722,0.065186,-0.612852,,,,,,,,,
6731,56.091667,0.116683,0.059963,-0.494897,0.483036,0.065343,-0.612466,,,,,,,,,
6732,56.100000,0.116638,0.059914,-0.494900,0.482939,0.065275,-0.612613,,,,,,,,,
6733,56.108333,0.116651,0.059910,-0.494815,0.482859,0.065223,-0.612722,,,,,,,,,
6734,56.116667,0.116671,0.059914,-0.494947,0.482893,0.065263,-0.612701,,,,,,,,,
6735,56.125000,0.116643,0.059803,-0.494978,0.482973,0.065240,-0.612593,,,,,,,,,
6736,56.133333,0.116669,0.059841,-0.494948,0.482695,0.065109,-0.612931,,,,,,,,,
6737,56.141667,0.116645,0.059944,-0.494908,0.483030,0.065350,-0.612453,,,,,,,,,
6738,56.150000,0.116673,0.059995,-0.494913,0.482930,0.065323,-0.612574,,,,,,,,,
6739,56.158333,0.116622,0.059912,-0.494868,0.482833,0.065220,-0.612704,,,,,,,,,
6740,56.166667,0.116668,0.059919,-0.494959,0.482866,0.065255,-0.612719,,,,,,,,,
6741,56.175000,0.116670,0.059895,-0.494911,0.483004,0.065302,-0.612557,,,,,,,,,
6742,56.183333,0.116651,0.059841,-0.494865,0.482714,0.065096,-0.612942,,,,,,,,,
6743,56.191667,0.116671,0.059847,-0.494941,0.482689,0.065106,-0.612952,,,,,,,,,
6744,56.200000,0.116660,0.059919,-0.494894,0.482952,0.065300,-0.612585,,,,,,,,,
6745,56.208333,0.116658,0.059962,-0.494834,0.482871,0.065264,-0.612691,,,,,,,,,
6746,56.216667,0.116639,0.059969,-0.494955,0.482863,0.065286,-0.612693,,,,,,,,,
6747,56.225000,0.116654,0.059894,-0.494966,0.482958,0.065287,-0.612564,,,,,,,,,
6748,56.233333,0.116638,0.059874,-0.494853,0.482687,0.065090,-0.612907,,,,,,,,,
6749,56.241667,0.116634,0.059833,-0.494893,0.482659,0.065076,-0.612947,,,,,,,,,
6750,56.250000,0.116654,0.059868,-0.494914,0.482938,0.065251,-0.612615,,,,,,,,,
6751,56.258333,0.116680,0.059976,-0.494862,0.482891,0.065297,-0.612679,,,,,,,,,
6752,56.266667,0.116656,0.059989,-0.494802,0.482888,0.065300,-0.612658,,,,,,,,,
6753,56.275000,0.116650,0.059904,-0.494857,0.482962,0.065287,-0.612576,,,,,,,,,
6754,56.283333,0.116662,0.059903,-0.494944,0.482716,0.065128,-0.612914,,,,,,,,,
6755,56.291667,0.116645,0.059957,-0.494870,0.482726,0.065168,-0.612903,,,,,,,,,
6756,56.300000,0.116628,0.059828,-0.494871,0.482934,0.065230,-0.612595,,,,,,,,,
6757,56.308333,0.116647,0.059824,-0.494976,0.482829,0.065109,-0.612789,,,,,,,,,
6758,56.316667,0.116684,0.060008,-0.494971,0.482855,0.065275,-0.612705,,,,,,,,,
6759,56.325000,0.116673,0.059984,-0.494894,0.482933,0.065321,-0.612568,,,,,,,,,
6760,56.333333,0.116627,0.059855,-0.494927,0.482697,0.065115,-0.612897,,,,,,,,,
6761,56.341667,0.116657,0.059880,-0.494936,0.482707,0.065106,-0.612931,,,,,,,,,
6762,56.350000,0.116676,0.059921,-0.494933,0.482979,0.065293,-0.612583,,,,,,,,,
6763,56.358333,0.116664,0.059900,-0.494922,0.482871,0.065236,-0.612734,,,,,,,,,
6764,56.366667,0.116657,0.059881,-0.494885,0.482847,0.065214,-0.612730,,,,,,,,,
6765,56.375000,0.116622,0.059901,-0.494852,0.482918,0.065247,-0.612619,,,,,,,,,
6766,56.383333,0.116667,0.059992,-0.494877,0.482740,0.065216,-0.612849,,,,,,,,,
6767,56.391667,0.116694,0.060029,-0.494928,0.482725,0.065255,-0.612856,,,,,,,,,
6768,56.400000,0.116644,0.059864,-0.494952,0.482956,0.065271,-0.612568,,,,,,,,,
6769,56.408333,0.116619,0.059775,-0.494868,0.482848,0.065126,-0.612760,,,,,,,,,
6770,56.416667,0.116655,0.059858,-0.494947,0.482841,0.065214,-0.612743,,,,,,,,,
6771,56.425000,0.116676,0.059942,-0.494835,0.482924,0.065286,-0.612623,,,,,,,,,
6772,56.433333,0.116674,0.059921,-0.494921,0.483011,0.065324,-0.612482,,,,,,,,,
6773,56.441667,0.116632,0.059893,-0.494939,0.482685,0.065132,-0.612946,,,,,,,,,
6774,56.450000,0.116655,0.059934,-0.494957,0.482989,0.065299,-0.612572,,,,,,,,,
6775,56.458333,0.116671,0.059969,-0.494819,0.482895,0.065303,-0.612670,,,,,,,,,
6776,56.466667,0.116656,0.059876,-0.494854,0.482836,0.065222,-0.612754,,,,,,,,,
6777,56.475000,0.116636,0.059792,-0.494983,0.482891,0.065139,-0.612708,,,,,,,,,
6778,56.483333,0.116662,0.059922,-0.494896,0.483003,0.065322,-0.612483,,,,,,,,,
6779,56.491667,0.116682,0.060044,-0.494872,0.483054,0.065419,-0.612363,,,,,,,,,
6780,56.500000,0.116641,0.059938,-0.494853,0.482991,0.065311,-0.612502,,,,,,,,,
6781,56.508333,0.116654,0.059821,-0.494964,0.482877,0.065167,-0.612750,,,,,,,,,
6782,56.516667,0.116689,0.059946,-0.494932,0.482849,0.065260,-0.612753,,,,,,,,,
6783,56.525000,0.116675,0.059929,-0.494925,0.482911,0.065258,-0.612669,,,,,,,,,
6784,56.533333,0.116651,0.059797,-0.494962,0.482697,0.065028,-0.612990,,,,,,,,,
6785,56.541667,0.116638,0.059836,-0.494921,0.482706,0.065080,-0.612971,,,,,,,,,
6786,56.550000,0.116689,0.060043,-0.494926,0.483024,0.065377,-0.612489,,,,,,,,,
6787,56.558333,0.116672,0.060020,-0.494889,0.482885,0.065321,-0.612628,,,,,,,,,
6788,56.566667,0.116649,0.059890,-0.494908,0.482826,0.065220,-0.612729,,,,,,,,,
6789,56.575000,0.116641,0.059813,-0.494933,0.482873,0.065182,-0.612678,,,,,,,,,
6790,56.583333,0.116664,0.059911,-0.494944,0.482979,0.065291,-0.612523,,,,,,,,,
6791,56.591667,0.116683,0.059980,-0.494898,0.482717,0.065196,-0.612922,,,,,,,,,
6792,56.600000,0.116656,0.059908,-0.494918,0.482998,0.065297,-0.612519,,,,,,,,,
6793,56.608333,0.116644,0.059847,-0.494880,0.482884,0.065250,-0.612639,,,,,,,,,
6794,56.616667,0.116649,0.059966,-0.494954,0.482850,0.065275,-0.612739,,,,,,,,,
6795,56.625000,0.116675,0.060009,-0.494924,0.482925,0.065322,-0.612666,,,,,,,,,
6796,56.633333,0.116656,0.059853,-0.494812,0.483006,0.065268,-0.612540,,,,,,,,,
6797,56.641667,0.116637,0.059782,-0.494944,0.482689,0.065001,-0.612959,,,,,,,,,
6798,56.650000,0.116660,0.059870,-0.494930,0.482994,0.065273,-0.612495,,,,,,,,,
6799,56.658333,0.116679,0.060018,-0.494892,0.482924,0.065322,-0.612601,,,,,,,,,
6800,56.666667,0.116649,0.059996,-0.494911,0.482855,0.065282,-0.612712,,,,,,,,,
6801,56.675000,0.116601,0.059855,-0.494868,0.482862,0.065237,-0.612704,,,,,,,,,
6802,56.683333,0.116652,0.059915,-0.494879,0.482982,0.065305,-0.612513,,,,,,,,,
6803,56.691667,0.116664,0.059993,-0.494906,0.482745,0.065212,-0.612885,,,,,,,,,
6804,56.700000,0.116660,0.059856,-0.494936,0.482716,0.065075,-0.613007,,,,,,,,,
6805,56.708333,0.116600,0.059794,-0.494852,0.482914,0.065157,-0.612679,,,,,,,,,
6806,56.716667,0.116672,0.059940,-0.494872,0.482843,0.065238,-0.612702,,,,,,,,,
6807,56.725000,0.116679,0.059992,-0.494928,0.482879,0.065314,-0.612681,,,,,,,,,
6808,56.733333,0.116652,0.059929,-0.494913,0.482984,0.065304,-0.612542,,,,,,,,,
6809,56.741667,0.116648,0.059874,-0.494950,0.482687,0.065106,-0.612933,,,,,,,,,
6810,56.750000,0.116667,0.059896,-0.494924,0.482686,0.065137,-0.612924,,,,,,,,,
6811,56.758333,0.116663,0.059887,-0.494888,0.482942,0.065257,-0.612606,,,,,,,,,
6812,56.766667,0.116655,0.059906,-0.494852,0.482835,0.065220,-0.612734,,,,,,,,,
6813,56.775000,0.116685,0.059978,-0.494918,0.482863,0.065264,-0.612697,,,,,,,,,
6814,56.783333,0.116649,0.059934,-0.494802,0.482983,0.065299,-0.612538,,,,,,,,,
6815,56.791667,0.116670,0.059946,-0.494884,0.482716,0.065178,-0.612884,,,,,,,,,
6816,56.800000,0.116667,0.059938,-0.494954,0.482731,0.065167,-0.612908,,,,,,,,,
6817,56.808333,0.116661,0.059866,-0.494922,0.482936,0.065241,-0.612616,,,,,,,,,
6818,56.816667,0.116617,0.059789,-0.494877,0.482832,0.065123,-0.612792,,,,,,,,,
6819,56.825000,0.116658,0.059917,-0.494977,0.482849,0.065247,-0.612716,,,,,,,,,
6820,56.833333,0.116700,0.060021,-0.494888,0.482969,0.065346,-0.612516,,,,,,,,,
6821,56.841667,0.116646,0.059925,-0.494961,0.482703,0.065154,-0.612908,,,,,,,,,
6822,56.850000,0.116641,0.059897,-0.494902,0.482683,0.065103,-0.612973,,,,,,,,,
6823,56.858333,0.116678,0.059956,-0.494822,0.482971,0.065322,-0.612569,,,,,,,,,
6824,56.866667,0.116664,0.059914,-0.494813,0.482842,0.065227,-0.612723,,,,,,,,,
6825,56.875000,0.116640,0.059829,-0.494966,0.482862,0.065170,-0.612788,,,,,,,,,
6826,56.883333,0.116656,0.059844,-0.494844,0.482985,0.065238,-0.612643,,,,,,,,,
6827,56.891667,0.116677,0.059988,-0.494879,0.482755,0.065236,-0.612812,,,,,,,,,
6828,56.900000,0.116678,0.059989,-0.494920,0.482737,0.065219,-0.612834,,,,,,,,,
6829,56.908333,0.116618,0.059848,-0.494836,0.482932,0.065268,-0.612575,,,,,,,,,
6830,56.916667,0.116624,0.059838,-0.494910,0.482843,0.065195,-0.612722,,,,,,,,,
6831,56.925000,0.116658,0.059915,-0.494992,0.482846,0.065211,-0.612756,,,,,,,,,
6832,56.933333,0.116652,0.059868,-0.494885,0.482940,0.065247,-0.612620,,,,,,,,,
6833,56.941667,0.116646,0.059874,-0.494910,0.482718,0.065155,-0.612885,,,,,,,,,
6834,56.950000,0.116643,0.059978,-0.494854,0.482737,0.065203,-0.612879,,,,,,,,,
6835,56.958333,0.116666,0.059963,-0.494894,0.482983,0.065335,-0.612554,,,,,,,,,
6836,56.966667,0.116608,0.059914,-0.494864,0.482865,0.065222,-0.612732,,,,,,,,,
6837,56.975000,0.116652,0.059909,-0.494890,0.482831,0.065211,-0.612760,,,,,,,,,
6838,56.983333,0.116657,0.059867,-0.494915,0.482928,0.065255,-0.612603,,,,,,,,,
6839,56.991667,0.116649,0.059893,-0.494918,0.482689,0.065127,-0.612916,,,,,,,,,
6840,57.000000,0.116653,0.059921,-0.494978,0.482705,0.065157,-0.612925,,,,,,,,,
6841,57.008333,0.116652,0.059931,-0.494877,0.482972,0.065321,-0.612485,,,,,,,,,
6842,57.016667,0.116640,0.059928,-0.494872,0.482862,0.065274,-0.612669,,,,,,,,,
6843,57.025000,0.116674,0.059941,-0.494938,0.482850,0.065250,-0.612766,,,,,,,,,
6844,57.033333,0.116691,0.059886,-0.494975,0.482925,0.065213,-0.612692,,,,,,,,,
6845,57.041667,0.116669,0.059836,-0.494911,0.482740,0.065120,-0.612934,,,,,,,,,
6846,57.050000,0.116659,0.059837,-0.494882,0.482704,0.065087,-0.612895,,,,,,,,,
6847,57.058333,0.116660,0.059917,-0.494917,0.482982,0.065296,-0.612525,,,,,,,,,
6848,57.066667,0.116678,0.060027,-0.494872,0.482868,0.065297,-0.612689,,,,,,,,,
6849,57.075000,0.116677,0.060010,-0.494905,0.482829,0.065285,-0.612696,,,,,,,,,
6850,57.083333,0.116620,0.059891,-0.494864,0.482891,0.065249,-0.612631,,,,,,,,,
6851,57.091667,0.116650,0.059846,-0.494888,0.482680,0.065105,-0.612944,,,,,,,,,
6852,57.100000,0.116648,0.059903,-0.494949,0.482704,0.065083,-0.613002,,,,,,,,,
6853,57.108333,0.116665,0.059896,-0.494986,0.482993,0.065281,-0.612567,,,,,,,,,
6854,57.116667,0.116664,0.059927,-0.494878,0.482882,0.065261,-0.612664,,,,,,,,,
6855,57.125000,0.116674,0.059967,-0.494860,0.482842,0.065248,-0.612724,,,,,,,,,
6856,57.133333,0.116635,0.059900,-0.494909,0.482912,0.065237,-0.612674,,,,,,,,,
6857,57.141667,0.116665,0.059955,-0.494968,0.483022,0.065329,-0.612491,,,,,,,,,
6858,57.150000,0.116667,0.059869,-0.494908,0.482709,0.065146,-0.612888,,,,,,,,,
6859,57.158333,0.116617,0.059816,-0.494865,0.482686,0.065034,-0.612943,,,,,,,,,
6860,57.166667,0.116643,0.059865,-0.494883,0.482857,0.065212,-0.612709,,,,,,,,,
6861,57.175000,0.116659,0.060044,-0.494815,0.482843,0.065319,-0.612698,,,,,,,,,
6862,57.183333,0.116683,0.059998,-0.494861,0.482886,0.065294,-0.612630,,,,,,,,,
6863,57.191667,0.116655,0.059904,-0.494890,0.483026,0.065272,-0.612544,,,,,,,,,
6864,57.200000,0.116661,0.059892,-0.494930,0.482711,0.065171,-0.612905,,,,,,,,,
6865,57.208333,0.116656,0.059915,-0.494828,0.483030,0.065326,-0.612488,,,,,,,,,
6866,57.216667,0.116645,0.059833,-0.494978,0.482901,0.065138,-0.612777,,,,,,,,,
6867,57.225000,0.116619,0.059831,-0.494901,0.482816,0.065141,-0.612822,,,,,,,,,
6868,57.233333,0.116654,0.060021,-0.494837,0.482882,0.065313,-0.612645,,,,,,,,,
6869,57.241667,0.116661,0.060051,-0.494869,0.483002,0.065383,-0.612466,,,,,,,,,
6870,57.250000,0.116640,0.059875,-0.494988,0.482667,0.065082,-0.612979,,,,,,,,,
6871,57.258333,0.116649,0.059857,-0.494920,0.482665,0.065038,-0.612946,,,,,,,,,
6872,57.266667,0.116641,0.059955,-0.494867,0.482907,0.065258,-0.612637,,,,,,,,,
6873,57.275000,0.116653,0.059886,-0.494834,0.482831,0.065198,-0.612771,,,,,,,,,
6874,57.283333,0.116639,0.059826,-0.494892,0.482870,0.065168,-0.612761,,,,,,,,,
6875,57.291667,0.116671,0.059935,-0.494817,0.483014,0.065317,-0.612500,,,,,,,,,
6876,57.300000,0.116667,0.060012,-0.494781,0.482753,0.065261,-0.612826,,,,,,,,,
6877,57.308333,0.116662,0.059922,-0.494881,0.482721,0.065182,-0.612857,,,,,,,,,
6878,57.316667,0.116651,0.059837,-0.494999,0.482925,0.065179,-0.612673,,,,,,,,,
6879,57.325000,0.116633,0.059868,-0.494954,0.482813,0.065194,-0.612769,,,,,,,,,
6880,57.333333,0.116646,0.059941,-0.494838,0.482833,0.065233,-0.612690,,,,,,,,,
6881,57.341667,0.116660,0.059911,-0.494939,0.482965,0.065274,-0.612569,,,,,,,,,
6882,57.350000,0.116630,0.059899,-0.494902,0.482696,0.065122,-0.612928,,,,,,,,,
6883,57.358333,0.116661,0.059971,-0.494906,0.482713,0.065201,-0.612884,,,,,,,,,
6884,57.366667,0.116669,0.059968,-0.494919,0.482949,0.065299,-0.612603,,,,,,,,,
6885,57.375000,0.116628,0.059912,-0.494863,0.482850,0.065216,-0.612780,,,,,,,,,
6886,57.383333,0.116652,0.059843,-0.494954,0.482861,0.065127,-0.612796,,,,,,,,,
6887,57.391667,0.116650,0.059837,-0.494932,0.482942,0.065217,-0.612600,,,,,,,,,
6888,57.400000,0.116675,0.059896,-0.494895,0.482724,0.065157,-0.612857,,,,,,,,,
6889,57.408333,0.116665,0.059966,-0.494957,0.482726,0.065208,-0.612899,,,,,,,,,
6890,57.416667,0.116646,0.059914,-0.494954,0.482911,0.065263,-0.612611,,,,,,,,,
6891,57.425000,0.116643,0.059927,-0.494854,0.482822,0.065233,-0.612707,,,,,,,,,
6892,57.433333,0.116631,0.059934,-0.494850,0.482854,0.065259,-0.612711,,,,,,,,,
6893,57.441667,0.116666,0.059867,-0.494954,0.482952,0.065255,-0.612619,,,,,,,,,
6894,57.450000,0.116625,0.059808,-0.494958,0.482686,0.065062,-0.612966,,,,,,,,,
6895,57.458333,0.116660,0.059919,-0.494827,0.482723,0.065166,-0.612892,,,,,,,,,
6896,57.466667,0.116673,0.060006,-0.494848,0.482963,0.065359,-0.612525,,,,,,,,,
6897,57.475000,0.116653,0.059948,-0.494906,0.482851,0.065255,-0.612704,,,,,,,,,
6898,57.483333,0.116644,0.059921,-0.494943,0.482852,0.065198,-0.612790,,,,,,,,,
6899,57.491667,0.116653,0.059896,-0.494932,0.482926,0.065252,-0.612598,,,,,,,,,
6900,57.500000,0.116643,0.059856,-0.494942,0.482681,0.065097,-0.612914,,,,,,,,,
6901,57.508333,0.116631,0.059897,-0.494926,0.482672,0.065107,-0.612978,,,,,,,,,
6902,57.516667,0.116661,0.059901,-0.494872,0.482964,0.065272,-0.612603,,,,,,,,,
6903,57.525000,0.116679,0.060001,-0.494864,0.482871,0.065287,-0.612659,,,,,,,,,
6904,57.533333,0.116650,0.059970,-0.494837,0.482855,0.065260,-0.612692,,,,,,,,,
6905,57.541667,0.116643,0.059814,-0.494932,0.482927,0.065207,-0.612640,,,,,,,,,
6906,57.550000,0.116658,0.059834,-0.494883,0.482737,0.065129,-0.612966,,,,,,,,,
6907,57.558333,0.116669,0.059911,-0.494923,0.482723,0.065154,-0.612894,,,,,,,,,
6908,57.566667,0.116658,0.059869,-0.494894,0.482962,0.065286,-0.612540,,,,,,,,,
6909,57.575000,0.116653,0.059935,-0.494898,0.482841,0.065254,-0.612687,,,,,,,,,
6910,57.583333,0.116651,0.060041,-0.494916,0.482850,0.065316,-0.612710,,,,,,,,,
6911,57.591667,0.116652,0.059987,-0.494902,0.482923,0.065298,-0.612613,,,,,,,,,
6912,57.600000,0.116626,0.059854,-0.494927,0.482688,0.065112,-0.612910,,,,,,,,,
6913,57.608333,0.116643,0.059881,-0.494973,0.482695,0.065107,-0.612943,,,,,,,,,
